article_id,filename,folder,title,sample_index,total_samples,sample_name,file_match,sample_type,co_precursor,dopant_element,synthesis_method,temperature_C,heating_rate_C_min,duration_bin,atmosphere,pre_treatment,post_treatment,defect_type,defect_formation_method,special_notes,precursor_family,calcination_temperature_bin,atmosphere_class,primary_route,defect_introduction_mode,dopant_class,morphology_form,drs_instrument,general_notes,extraction_status,error_message
cdefects/cdefects_007.pdf,cdefects_007.pdf,cdefects,Preparation of S-doped g-C3N4 with C vacancies using the desulfurized waste liquid extracting salt and its application for NOx removal,7,8,CN-MIX-3,cn-mix3,doped,ammonium thiosulfate,S,thermal_polymerization,550.0,3.0,4_8h,Ar,none,none,C vacancies,dopant_induced,none,cyanamide,520_560,inert,direct_thermal,dopant_induced,nonmetal,bulk,U-3900 UV–vis spectrophotometer,The synthesis involves thermal polymerization of various precursors with sulfur doping and carbon vacancies introduced through the use of ammonium thiocyanate and other sulfur-containing compounds.,success,
cdefects/cdefects_007.pdf,cdefects_007.pdf,cdefects,Preparation of S-doped g-C3N4 with C vacancies using the desulfurized waste liquid extracting salt and its application for NOx removal,8,8,CN-MIX-5,cn-mix5,doped,ammonium thiosulfate,S,thermal_polymerization,550.0,3.0,4_8h,Ar,none,none,C vacancies,dopant_induced,none,cyanamide,520_560,inert,direct_thermal,dopant_induced,nonmetal,bulk,U-3900 UV–vis spectrophotometer,The synthesis involves thermal polymerization of various precursors with sulfur doping and carbon vacancies introduced through the use of ammonium thiocyanate and other sulfur-containing compounds.,success,
cdefects/cdefects_010.pdf,cdefects_010.pdf,cdefects,Carbon Vacancy Regulated Photoreduction of NO to N2 over Ultrathin g-C3N4 Nanosheets,1,2,Ns-g-C3N4,ns-g-c3n4,modified,cyanuric acid,none,supramolecular,550.0,,4_8h,air,mixing with ethanol,none,none,none,ultrathin nanosheet structure,melamine,520_560,air,supramolecular_preassembly,none_or_baseline,none,nanosheets_ultrathin,Shimadzu UV-2550,"The study focuses on the synthesis of ultrathin g-C3N4 nanosheets and bulk g-C3N4 using melamine and cyanuric acid as precursors, with a focus on photocatalytic NO reduction.",success,
cdefects/cdefects_010.pdf,cdefects_010.pdf,cdefects,Carbon Vacancy Regulated Photoreduction of NO to N2 over Ultrathin g-C3N4 Nanosheets,2,2,g-C3N4,g-c3n4,reference,none,none,thermal_polymerization,550.0,,4_8h,air,mixing with ethanol,none,none,none,bulk structure,melamine,520_560,air,direct_thermal,none_or_baseline,none,bulk,Shimadzu UV-2550,"The study focuses on the synthesis of ultrathin g-C3N4 nanosheets and bulk g-C3N4 using melamine and cyanuric acid as precursors, with a focus on photocatalytic NO reduction.",success,
cdefects/cdefects_012.pdf,cdefects_012.pdf,cdefects,"Carbon vacancy in C3N4 nanotube: electronic structure, photocatalysis mechanism and highly enhanced activity",1,6,TN 400,,defective,urea,none,thermal_polymerization,400.0,5.0,4_8h,N2,hydrothermal,washing,carbon vacancy,none_or_baseline,none,melamine,lt520,N2,direct_thermal,none_or_baseline,none,tubular,Shimadzu UV-3600,The synthesis involves a hydrothermal pre-treatment followed by calcination under nitrogen atmosphere to introduce carbon vacancies in tubular g-C3N4.,success,
cdefects/cdefects_012.pdf,cdefects_012.pdf,cdefects,"Carbon vacancy in C3N4 nanotube: electronic structure, photocatalysis mechanism and highly enhanced activity",2,6,TN 450,,defective,urea,none,thermal_polymerization,450.0,5.0,4_8h,N2,hydrothermal,washing,carbon vacancy,none_or_baseline,none,melamine,lt520,N2,direct_thermal,none_or_baseline,none,tubular,Shimadzu UV-3600,The synthesis involves a hydrothermal pre-treatment followed by calcination under nitrogen atmosphere to introduce carbon vacancies in tubular g-C3N4.,success,
cdefects/cdefects_012.pdf,cdefects_012.pdf,cdefects,"Carbon vacancy in C3N4 nanotube: electronic structure, photocatalysis mechanism and highly enhanced activity",3,6,TN 500,tn500,defective,urea,none,thermal_polymerization,500.0,5.0,4_8h,N2,hydrothermal,washing,carbon vacancy,none_or_baseline,none,melamine,lt520,N2,direct_thermal,none_or_baseline,none,tubular,Shimadzu UV-3600,The synthesis involves a hydrothermal pre-treatment followed by calcination under nitrogen atmosphere to introduce carbon vacancies in tubular g-C3N4.,success,
cdefects/cdefects_012.pdf,cdefects_012.pdf,cdefects,"Carbon vacancy in C3N4 nanotube: electronic structure, photocatalysis mechanism and highly enhanced activity",4,6,TN 550,,defective,urea,none,thermal_polymerization,550.0,5.0,4_8h,N2,hydrothermal,washing,carbon vacancy,none_or_baseline,none,melamine,520_560,N2,direct_thermal,none_or_baseline,none,tubular,Shimadzu UV-3600,The synthesis involves a hydrothermal pre-treatment followed by calcination under nitrogen atmosphere to introduce carbon vacancies in tubular g-C3N4.,success,
cdefects/cdefects_012.pdf,cdefects_012.pdf,cdefects,"Carbon vacancy in C3N4 nanotube: electronic structure, photocatalysis mechanism and highly enhanced activity",5,6,TN 600,,defective,urea,none,thermal_polymerization,600.0,5.0,4_8h,N2,hydrothermal,washing,carbon vacancy,none_or_baseline,none,melamine,gt600,N2,direct_thermal,none_or_baseline,none,tubular,Shimadzu UV-3600,The synthesis involves a hydrothermal pre-treatment followed by calcination under nitrogen atmosphere to introduce carbon vacancies in tubular g-C3N4.,success,
cdefects/cdefects_012.pdf,cdefects_012.pdf,cdefects,"Carbon vacancy in C3N4 nanotube: electronic structure, photocatalysis mechanism and highly enhanced activity",6,6,T 500,t500,reference,urea,none,thermal_polymerization,500.0,,4_8h,air,hydrothermal,washing,none,none_or_baseline,none,melamine,lt520,air,direct_thermal,none_or_baseline,none,bulk,Shimadzu UV-3600,The synthesis involves a hydrothermal pre-treatment followed by calcination under nitrogen atmosphere to introduce carbon vacancies in tubular g-C3N4.,success,
cdefects/cdefects_013.pdf,cdefects_013.pdf,cdefects,Robust Photocatalytic H2O2 Production over Inverse Opal g-C3N4 with Carbon Vacancy under Visible Light,1,4,IO CN-Cv,,defective,SiO2 PCs,none,thermal_polymerization,550.0,,4_8h,Ar,none,etching,carbon vacancy,chemical_vapor_etching,Inverse opal structure formed using silica template,cyanamide,520_560,inert,template_assisted,chemical_vapor_etching,none,3d_macroporous,unknown,The study focuses on the synthesis of g-C3N4 with carbon vacancies using silica templates and thermal polymerization methods.,success,
cdefects/cdefects_013.pdf,cdefects_013.pdf,cdefects,Robust Photocatalytic H2O2 Production over Inverse Opal g-C3N4 with Carbon Vacancy under Visible Light,2,4,Bulk CN,bulk-cn,reference,none,none,thermal_polymerization,550.0,,4_8h,air,none,none,none,none,Standard bulk g-C3N4,cyanamide,520_560,air,direct_thermal,none_or_baseline,none,bulk,unknown,The study focuses on the synthesis of g-C3N4 with carbon vacancies using silica templates and thermal polymerization methods.,success,
cdefects/cdefects_013.pdf,cdefects_013.pdf,cdefects,Robust Photocatalytic H2O2 Production over Inverse Opal g-C3N4 with Carbon Vacancy under Visible Light,3,4,Bulk CN-Cv,bulk-cvcn,defective,none,none,thermal_polymerization,550.0,,4_8h,Ar,none,none,carbon vacancy,chemical_vapor_etching,Bulk g-C3N4 with carbon vacancies,cyanamide,520_560,inert,direct_thermal,chemical_vapor_etching,none,bulk,unknown,The study focuses on the synthesis of g-C3N4 with carbon vacancies using silica templates and thermal polymerization methods.,success,
cdefects/cdefects_013.pdf,cdefects_013.pdf,cdefects,Robust Photocatalytic H2O2 Production over Inverse Opal g-C3N4 with Carbon Vacancy under Visible Light,4,4,Nanosheet CN,,modified,none,none,thermal_polymerization,500.0,,2_4h,unknown,none,none,none,none,Exfoliated to form nanosheets,cyanamide,lt520,unknown,direct_thermal,none_or_baseline,none,nanosheets_ultrathin,unknown,The study focuses on the synthesis of g-C3N4 with carbon vacancies using silica templates and thermal polymerization methods.,success,
cdefects/cdefects_014.pdf,cdefects_014.pdf,cdefects,H2+CO2 Synergistic Plasma Positioning Carboxyl Defects in g-C3N4 with Engineered Electronic Structure and Active Sites for Efficient Photocatalytic H2 Evolution,1,2,g-C3N4,g-c3n4,reference,none,none,thermal_polymerization,560.0,5.0,4_8h,unknown,none,none,none,none,none,urea,560_600,unknown,direct_thermal,none_or_baseline,none,bulk,unknown,The study involves plasma treatment to introduce carboxyl defects in g-C3N4 for enhanced photocatalytic activity.,success,
cdefects/cdefects_014.pdf,cdefects_014.pdf,cdefects,H2+CO2 Synergistic Plasma Positioning Carboxyl Defects in g-C3N4 with Engineered Electronic Structure and Active Sites for Efficient Photocatalytic H2 Evolution,2,2,H2+CO2-pCN,h2-co2-pcn,defective,none,none,other,,,lt2h,unknown,none,plasma treatment,carboxyl defects,gas_assisted_etching,Plasma treatment with H2 and CO2,urea,560_600,unknown,direct_thermal,gas_assisted_etching,none,bulk,unknown,The study involves plasma treatment to introduce carboxyl defects in g-C3N4 for enhanced photocatalytic activity.,success,
cdefects/cdefects_015.pdf,cdefects_015.pdf,cdefects,,1,3,0.05 OA-CN,,modified,oxyacetic acid,none,thermal_polymerization,540.0,3.0,lt2h,unknown,grinding,none,C-defective,none,Ultrathin porous structure,urea,520_560,unknown,direct_thermal,none_or_baseline,none,porous_holey,unknown,Synthesis involves thermal polymerization of urea with additives to create C-defective and porous g-C3N4.,success,
cdefects/cdefects_015.pdf,cdefects_015.pdf,cdefects,,2,3,UN-CN,un-cn,defective,urea nitrate,none,thermal_polymerization,540.0,3.0,lt2h,unknown,grinding,none,C-defective,none,none,urea,520_560,unknown,direct_thermal,none_or_baseline,none,bulk,unknown,Synthesis involves thermal polymerization of urea with additives to create C-defective and porous g-C3N4.,success,
cdefects/cdefects_015.pdf,cdefects_015.pdf,cdefects,,3,3,0.05 OA-UN-CN,,modified,oxyacetic acid,none,thermal_polymerization,540.0,3.0,lt2h,unknown,grinding,none,C-defective,none,none,urea,520_560,unknown,direct_thermal,none_or_baseline,none,porous_holey,unknown,Synthesis involves thermal polymerization of urea with additives to create C-defective and porous g-C3N4.,success,
cdefects/cdefects_016.pdf,cdefects_016.pdf,cdefects,,1,4,S-PDCN-x,,doped,cyanuric acid,S,thermal_polymerization,550.0,5.0,4_8h,unknown,none,none,C-deficient,dopant_induced,S-doped C-deficient honeycomb nanoflake,melamine,520_560,unknown,direct_thermal,dopant_induced,nonmetal,porous_holey,unknown,"The synthesis involves thermal polycondensation of melamine and cyanuric acid, with thiourea used for S-doping.",success,
cdefects/cdefects_016.pdf,cdefects_016.pdf,cdefects,,2,4,PDCN,pdcn,reference,cyanuric acid,none,thermal_polymerization,550.0,5.0,4_8h,unknown,none,none,none,none_or_baseline,Prepared under the same conditions as S-PDCN-x without thiourea,melamine,520_560,unknown,direct_thermal,none_or_baseline,none,bulk,unknown,"The synthesis involves thermal polycondensation of melamine and cyanuric acid, with thiourea used for S-doping.",success,
cdefects/cdefects_016.pdf,cdefects_016.pdf,cdefects,,3,4,S-CN,s-cn,doped,none,S,thermal_polymerization,550.0,5.0,4_8h,unknown,none,none,none,dopant_induced,Prepared with 3 wt% thiourea,melamine,520_560,unknown,direct_thermal,dopant_induced,nonmetal,bulk,unknown,"The synthesis involves thermal polycondensation of melamine and cyanuric acid, with thiourea used for S-doping.",success,
cdefects/cdefects_016.pdf,cdefects_016.pdf,cdefects,,4,4,BCN,bcn,reference,none,none,thermal_polymerization,550.0,5.0,4_8h,unknown,none,none,none,none_or_baseline,Bulk phase g-C3N4 photocatalyst,melamine,520_560,unknown,direct_thermal,none_or_baseline,none,bulk,unknown,"The synthesis involves thermal polycondensation of melamine and cyanuric acid, with thiourea used for S-doping.",success,
cyanodefects/cyanodefects_004.pdf,cyanodefects_004.pdf,cyanodefects,Metal-ion-assisted construction of cyano group defects in g-C3N4 to simultaneously degrade wastewater and produce hydrogen,1,4,g-C3N4,,reference,none,none,thermal_polymerization,600.0,5.0,4_8h,unknown,none,none,none,none,Prepared by direct calcination of melamine without BaCl2.,melamine,gt600,unknown,direct_thermal,none_or_baseline,none,bulk,"Shimadzu, Japan",The study involves the synthesis of Ba2+ doped g-C3N4 with cyano group defects for enhanced photocatalytic activity in hydrogen production and wastewater degradation.,success,
cyanodefects/cyanodefects_004.pdf,cyanodefects_004.pdf,cyanodefects,Metal-ion-assisted construction of cyano group defects in g-C3N4 to simultaneously degrade wastewater and produce hydrogen,2,4,5%-BaCN-C3N4,5bacn-c3n4,doped,BaCl2,Ba,thermal_polymerization,600.0,5.0,4_8h,unknown,sonication,washing,cyano group defects,dopant_induced,Ba2+ doping to construct cyano group defects.,melamine,gt600,unknown,direct_thermal,dopant_induced,metal,bulk,"Shimadzu, Japan",The study involves the synthesis of Ba2+ doped g-C3N4 with cyano group defects for enhanced photocatalytic activity in hydrogen production and wastewater degradation.,success,
cyanodefects/cyanodefects_004.pdf,cyanodefects_004.pdf,cyanodefects,Metal-ion-assisted construction of cyano group defects in g-C3N4 to simultaneously degrade wastewater and produce hydrogen,3,4,7%-BaCN-C3N4,,doped,BaCl2,Ba,thermal_polymerization,600.0,5.0,4_8h,unknown,sonication,washing,cyano group defects,dopant_induced,Ba2+ doping to construct cyano group defects.,melamine,gt600,unknown,direct_thermal,dopant_induced,metal,bulk,"Shimadzu, Japan",The study involves the synthesis of Ba2+ doped g-C3N4 with cyano group defects for enhanced photocatalytic activity in hydrogen production and wastewater degradation.,success,
cyanodefects/cyanodefects_004.pdf,cyanodefects_004.pdf,cyanodefects,Metal-ion-assisted construction of cyano group defects in g-C3N4 to simultaneously degrade wastewater and produce hydrogen,4,4,9%-BaCN-C3N4,,doped,BaCl2,Ba,thermal_polymerization,600.0,5.0,4_8h,unknown,sonication,washing,cyano group defects,dopant_induced,Ba2+ doping to construct cyano group defects.,melamine,gt600,unknown,direct_thermal,dopant_induced,metal,bulk,"Shimadzu, Japan",The study involves the synthesis of Ba2+ doped g-C3N4 with cyano group defects for enhanced photocatalytic activity in hydrogen production and wastewater degradation.,success,
cyanodefects/cyanodefects_007.pdf,cyanodefects_007.pdf,cyanodefects,CaH2-assisted structural engineering of porous defective graphitic carbon nitride (g-C3N4) for enhanced photocatalytic hydrogen evolution,1,3,CaH2-assisted porous defective g-C3N4,cn-h,defective,CaH2,none,thermal_polymerization,550.0,,4_8h,N2,none,none,porous,gas_assisted_etching,CaH2 used to introduce defects,melamine,520_560,N2,direct_thermal,gas_assisted_etching,none,porous_holey,unknown,The study focuses on CaH2-assisted structural engineering to create porous defective g-C3N4 for enhanced photocatalytic hydrogen evolution.,success,
cyanodefects/cyanodefects_007.pdf,cyanodefects_007.pdf,cyanodefects,CaH2-assisted structural engineering of porous defective graphitic carbon nitride (g-C3N4) for enhanced photocatalytic hydrogen evolution,2,3,pristine g-C3N4,cn,reference,none,none,thermal_polymerization,550.0,,4_8h,N2,none,none,none,none,Standard reference sample,melamine,520_560,N2,direct_thermal,none_or_baseline,none,bulk,unknown,The study focuses on CaH2-assisted structural engineering to create porous defective g-C3N4 for enhanced photocatalytic hydrogen evolution.,success,
cyanodefects/cyanodefects_007.pdf,cyanodefects_007.pdf,cyanodefects,CaH2-assisted structural engineering of porous defective graphitic carbon nitride (g-C3N4) for enhanced photocatalytic hydrogen evolution,3,3,modified g-C3N4 with cyano groups,mm-h,modified,none,none,thermal_polymerization,550.0,,4_8h,N2,none,none,cyano groups,none,Cyano groups introduced during synthesis,melamine,520_560,N2,direct_thermal,none_or_baseline,none,porous_holey,unknown,The study focuses on CaH2-assisted structural engineering to create porous defective g-C3N4 for enhanced photocatalytic hydrogen evolution.,success,
cyanodefects/cyanodefects_010.pdf,cyanodefects_010.pdf,cyanodefects,,1,5,MS-450,,modified,LiCl and KCl,none,thermal_polymerization,450.0,5.0,4_8h,unknown,grinding,washing with hot deionized water and ethanol,none,none,Eutectic mixture used as template,melamine,lt520,unknown,template_assisted,none_or_baseline,none,bulk,"UV-2550PC spectrophotometer (Shimadzu Corporation, Japan)",The study involves the synthesis of g-C3N4 using a eutectic mixture as a template to modify the structure and properties of the material.,success,
cyanodefects/cyanodefects_010.pdf,cyanodefects_010.pdf,cyanodefects,,2,5,MS-500,ms-500,modified,LiCl and KCl,none,thermal_polymerization,500.0,5.0,4_8h,unknown,grinding,washing with hot deionized water and ethanol,none,none,Eutectic mixture used as template,melamine,lt520,unknown,template_assisted,none_or_baseline,none,bulk,"UV-2550PC spectrophotometer (Shimadzu Corporation, Japan)",The study involves the synthesis of g-C3N4 using a eutectic mixture as a template to modify the structure and properties of the material.,success,
cyanodefects/cyanodefects_010.pdf,cyanodefects_010.pdf,cyanodefects,,3,5,MS-550,,modified,LiCl and KCl,none,thermal_polymerization,550.0,5.0,4_8h,unknown,grinding,washing with hot deionized water and ethanol,none,none,Eutectic mixture used as template,melamine,520_560,unknown,template_assisted,none_or_baseline,none,bulk,"UV-2550PC spectrophotometer (Shimadzu Corporation, Japan)",The study involves the synthesis of g-C3N4 using a eutectic mixture as a template to modify the structure and properties of the material.,success,
cyanodefects/cyanodefects_010.pdf,cyanodefects_010.pdf,cyanodefects,,4,5,MS-600,ms-600,modified,LiCl and KCl,none,thermal_polymerization,600.0,5.0,4_8h,unknown,grinding,washing with hot deionized water and ethanol,none,none,Eutectic mixture used as template,melamine,gt600,unknown,template_assisted,none_or_baseline,none,bulk,"UV-2550PC spectrophotometer (Shimadzu Corporation, Japan)",The study involves the synthesis of g-C3N4 using a eutectic mixture as a template to modify the structure and properties of the material.,success,
cyanodefects/cyanodefects_010.pdf,cyanodefects_010.pdf,cyanodefects,,5,5,B-CN,,reference,none,none,thermal_polymerization,520.0,5.0,4_8h,unknown,none,none,none,none,Conventional thermal polymerization,melamine,520_560,unknown,direct_thermal,none_or_baseline,none,bulk,"UV-2550PC spectrophotometer (Shimadzu Corporation, Japan)",The study involves the synthesis of g-C3N4 using a eutectic mixture as a template to modify the structure and properties of the material.,success,
cyanodefects/cyanodefects_011.pdf,cyanodefects_011.pdf,cyanodefects,Synthesis of synergetic phosphorus and cyano groups (C≡N) modified g-C3N4 for enhanced photocatalytic H2 production and CO2 reduction under visible light irradiation,1,5,pristine g-C3N4,g-c3n4,reference,none,none,thermal_polymerization,550.0,5.0,4_8h,air,none,none,none,none,none,cyanamide,520_560,air,direct_thermal,none_or_baseline,none,bulk,Shimadzu UV-2550,"The synthesis involves thermal polycondensation of urea and dicyandiamide, followed by doping with phosphorus using NaH2PO2 under Ar atmosphere.",success,
cyanodefects/cyanodefects_011.pdf,cyanodefects_011.pdf,cyanodefects,Synthesis of synergetic phosphorus and cyano groups (C≡N) modified g-C3N4 for enhanced photocatalytic H2 production and CO2 reduction under visible light irradiation,2,5,g-C3N4 –300,g-c3n4-300,doped,NaH2PO2,P,thermal_polymerization,300.0,10.0,lt2h,Ar,none,washing,none,none,PH3 absorbed using sodium hypochlorite,cyanamide,lt520,inert,direct_thermal,dopant_induced,nonmetal,bulk,Shimadzu UV-2550,"The synthesis involves thermal polycondensation of urea and dicyandiamide, followed by doping with phosphorus using NaH2PO2 under Ar atmosphere.",success,
cyanodefects/cyanodefects_011.pdf,cyanodefects_011.pdf,cyanodefects,Synthesis of synergetic phosphorus and cyano groups (C≡N) modified g-C3N4 for enhanced photocatalytic H2 production and CO2 reduction under visible light irradiation,3,5,g-C3N4 –350,g-c3n4-350,doped,NaH2PO2,P,thermal_polymerization,350.0,10.0,lt2h,Ar,none,washing,none,none,PH3 absorbed using sodium hypochlorite,cyanamide,lt520,inert,direct_thermal,dopant_induced,nonmetal,bulk,Shimadzu UV-2550,"The synthesis involves thermal polycondensation of urea and dicyandiamide, followed by doping with phosphorus using NaH2PO2 under Ar atmosphere.",success,
cyanodefects/cyanodefects_011.pdf,cyanodefects_011.pdf,cyanodefects,Synthesis of synergetic phosphorus and cyano groups (C≡N) modified g-C3N4 for enhanced photocatalytic H2 production and CO2 reduction under visible light irradiation,4,5,g-C3N4 –400,g-c3n4-400,doped,NaH2PO2,P,thermal_polymerization,400.0,10.0,lt2h,Ar,none,washing,none,none,PH3 absorbed using sodium hypochlorite,cyanamide,lt520,inert,direct_thermal,dopant_induced,nonmetal,bulk,Shimadzu UV-2550,"The synthesis involves thermal polycondensation of urea and dicyandiamide, followed by doping with phosphorus using NaH2PO2 under Ar atmosphere.",success,
cyanodefects/cyanodefects_011.pdf,cyanodefects_011.pdf,cyanodefects,Synthesis of synergetic phosphorus and cyano groups (C≡N) modified g-C3N4 for enhanced photocatalytic H2 production and CO2 reduction under visible light irradiation,5,5,g-C3N4 –425,g-c3n4-Ar-425,doped,NaH2PO2,P,thermal_polymerization,425.0,10.0,lt2h,Ar,none,washing,none,none,PH3 absorbed using sodium hypochlorite,cyanamide,lt520,inert,direct_thermal,dopant_induced,nonmetal,bulk,Shimadzu UV-2550,"The synthesis involves thermal polycondensation of urea and dicyandiamide, followed by doping with phosphorus using NaH2PO2 under Ar atmosphere.",success,
cyanodefects/cyanodefects_013.pdf,cyanodefects_013.pdf,cyanodefects,,1,6,SiO2/g-C3N4,,modified,silicon dioxide,none,thermal_polymerization,550.0,,2_4h,unknown,none,none,none,none,SiO2 used as a template,cyanamide,520_560,unknown,template_assisted,none_or_baseline,none,porous_holey,unknown,The synthesis involves thermal polymerization with templates and molten salts to create porous g-C3N4 structures.,success,
cyanodefects/cyanodefects_013.pdf,cyanodefects_013.pdf,cyanodefects,,2,6,mDCN-M-1,,modified,KCl and LiCl,none,thermal_polymerization,550.0,,2_4h,N2,grinding with molten salt,washing and etching with HF,none,none,Molten salt used for porosity,cyanamide,520_560,N2,template_assisted,none_or_baseline,none,porous_holey,unknown,The synthesis involves thermal polymerization with templates and molten salts to create porous g-C3N4 structures.,success,
cyanodefects/cyanodefects_013.pdf,cyanodefects_013.pdf,cyanodefects,,3,6,mDCN-M-2,,modified,KCl and LiCl,none,thermal_polymerization,550.0,,2_4h,N2,grinding with molten salt,washing and etching with HF,none,none,Molten salt used for porosity,cyanamide,520_560,N2,template_assisted,none_or_baseline,none,porous_holey,unknown,The synthesis involves thermal polymerization with templates and molten salts to create porous g-C3N4 structures.,success,
